iter	Passed	Remaining
575	1730	1273
576	1733	1270
577	1736	1268
578	1738	1264
579	1741	1260
580	1743	1257
581	1747	1254
582	1749	1251
583	1751	1247
584	1753	1244
585	1757	1241
586	1761	1239
587	1763	1235
588	1766	1232
589	1768	1228
590	1771	1226
591	1777	1224
592	1780	1222
593	1783	1218
594	1787	1216
595	1793	1215
596	1796	1212
597	1799	1209
598	1805	1208
599	1809	1206
600	1812	1203
601	1817	1201
602	1824	1200
603	1830	1200
604	1832	1196
605	1839	1195
606	1841	1192
607	1843	1188
608	1846	1185
609	1850	1182
610	1854	1180
611	1859	1178
612	1862	1175
613	1869	1175
614	1873	1172
615	1877	1170
616	1885	1170
617	1892	1169
618	1896	1167
619	1899	1164
620	1916	1169
621	1925	1170
622	1939	1173
623	1950	1175
624	1956	1173
625	1959	1170
626	1961	1166
627	1964	1163
628	1967	1160
629	1971	1157
630	1973	1154
631	1975	1150
632	1978	1146
633	1981	1143
634	1985	1141
635	1989	1138
636	1991	1134
637	1995	1132
638	2000	1130
639	2004	1127
640	2010	1125
641	2015	1123
642	2017	1119
643	2020	1116
644	2022	1112
645	2023	1108
646	2028	1106
647	2031	1103
648	2035	1100
649	2041	1099
650	2049	1098
651	2052	1095
652	2053	1091
653	2058	1089
654	2060	1085
655	2063	1082
656	2070	1081
657	2073	1077
658	2075	1074
659	2078	1070
660	2080	1067
661	2084	1064
662	2087	1060
663	2092	1058
664	2094	1055
665	2099	1052
666	2106	1051
667	2110	1048
668	2116	1047
669	2120	1044
670	2127	1043
671	2129	1039
672	2134	1037
673	2137	1033
674	2143	1031
675	2145	1028
676	2147	1024
677	2151	1021
678	2154	1018
679	2158	1015
680	2160	1011
681	2162	1008
682	2163	1004
683	2165	1000
684	2168	997
685	2172	994
686	2174	990
687	2177	987
688	2180	984
689	2182	980
690	2188	978
691	2191	975
692	2193	971
693	2196	968
694	2203	966
695	2205	963
696	2208	959
697	2211	956
698	2217	954
699	2222	952
700	2224	948
701	2239	950
702	2241	947
703	2244	943
704	2246	939
705	2250	937
706	2253	933
707	2255	930
708	2257	926
709	2261	923
710	2263	919
711	2265	916
712	2267	912
713	2270	909
714	2275	906
715	2277	903
716	2279	899
717	2281	896
718	2283	892
719	2285	888
720	2289	886
721	2295	883
722	2297	880
723	2299	876
724	2302	873
725	2306	870
726	2308	866
727	2310	863
728	2312	859
729	2315	856
730	2319	853
731	2321	849
732	2323	846
733	2324	842
734	2326	838
735	2328	835
736	2330	831
737	2334	828
738	2335	824
739	2337	821
740	2339	817
741	2340	813
742	2344	810
743	2347	807
744	2350	804
745	2352	800
746	2355	797
747	2358	794
748	2363	792
749	2366	788
750	2369	785
751	2371	782
752	2375	779
753	2380	776
754	2382	773
755	2384	769
756	2386	766
757	2390	763
758	2395	760
759	2397	757
760	2399	753
761	2401	750
762	2407	747
763	2409	744
764	2411	740
765	2413	737
766	2415	733
767	2419	731
768	2421	727
769	2423	723
770	2425	720
771	2427	717
772	2429	713
773	2431	710
774	2435	707
775	2437	703
776	2440	700
777	2443	697
778	2445	693
779	2450	691
780	2453	687
781	2455	684
782	2458	681
783	2461	678
784	2463	674
785	2466	671
786	2468	668
787	2472	665
788	2474	661
789	2478	658
790	2480	655
791	2485	652
792	2487	649
793	2492	646
794	2494	643
795	2496	639
796	2498	636
797	2499	632
798	2501	629
799	2503	625
